,EVENT_ID,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
890,773535,64.0,M,Outside/Open Areas
891,773535,,M,Outside/Open Areas
892,773535,79.0,F,Permanent Home
893,773535,99.0,F,Permanent Home
894,773536,35.0,M,Outside/Open Areas
895,773536,50.0,M,Outside/Open Areas
896,773536,53.0,M,Outside/Open Areas
897,773536,63.0,M,Outside/Open Areas
898,773536,75.0,M,Permanent Home
899,773537,68.0,M,Unknown
900,773537,59.0,M,Other
901,773537,54.0,M,Outside/Open Areas
902,773537,75.0,F,Outside/Open Areas
903,773537,56.0,M,Outside/Open Areas
904,773537,44.0,M,Outside/Open Areas
905,773537,58.0,M,Outside/Open Areas
906,773537,41.0,M,Outside/Open Areas
907,773537,46.0,M,Outside/Open Areas
908,773537,54.0,M,Outside/Open Areas
909,773537,71.0,F,Permanent Home
910,773537,68.0,M,Permanent Home
911,773537,55.0,M,Permanent Home
912,773537,66.0,F,Permanent Home
913,773537,42.0,F,Permanent Home
914,773537,81.0,M,Permanent Home
915,773537,75.0,M,Permanent Home
916,774967,78.0,M,Vehicle/Towed Trailer
917,775396,25.0,M,In Water
918,775400,68.0,M,In Water
919,775579,43.0,F,In Water
920,775581,41.0,M,In Water
921,776172,20.0,M,In Water
922,764696,53.0,M,Vehicle/Towed Trailer
923,774127,34.0,M,In Water
924,774128,32.0,F,In Water
925,775409,70.0,M,Outside/Open Areas
926,824113,61.0,M,Outside/Open Areas
927,771912,49.0,M,Outside/Open Areas
928,773417,9.0,M,In Water
929,773823,64.0,M,In Water
930,773826,24.0,M,In Water
931,776881,1.0,M,Vehicle/Towed Trailer
932,776881,,F,Vehicle/Towed Trailer
933,778074,17.0,M,In Water
934,780582,43.0,M,In Water
935,783402,85.0,M,Permanent Home
936,783402,71.0,M,Permanent Home
937,783403,41.0,M,Outside/Open Areas
938,783404,58.0,M,Outside/Open Areas
939,783701,23.0,F,Vehicle/Towed Trailer
940,784008,35.0,M,Vehicle/Towed Trailer
941,784424,40.0,M,Vehicle/Towed Trailer
942,785023,33.0,M,Outside/Open Areas
