,Unnamed: 0_x,STATE,EVENT_ID,YEAR,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,Unnamed: 0_y,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
1737,119484,ARIZONA,866452,2018,Excessive Heat,0,0,3,0,0.0,0.00K,1068,,,Unknown
1738,119484,ARIZONA,866452,2018,Excessive Heat,0,0,3,0,0.0,0.00K,1069,,,Unknown
1739,119484,ARIZONA,866452,2018,Excessive Heat,0,0,3,0,0.0,0.00K,1164,,,Unknown
1740,119509,ARIZONA,867357,2018,Heat,0,0,1,0,0.0,0.00K,1109,,,Unknown
1741,119510,ARIZONA,867358,2018,Heat,0,0,0,1,0.0,0.00K,1110,,,Unknown
1742,119523,ARIZONA,867359,2018,Heat,0,0,0,2,0.0,0.00K,1111,,,Unknown
1743,119523,ARIZONA,867359,2018,Heat,0,0,0,2,0.0,0.00K,1112,,,Unknown
1744,119524,ARIZONA,867360,2018,Heat,0,0,0,1,0.0,0.00K,1113,,,Unknown
1745,119525,ARIZONA,866453,2018,Excessive Heat,0,0,2,0,0.0,0.00K,1070,,,Unknown
1746,119525,ARIZONA,866453,2018,Excessive Heat,0,0,2,0,0.0,0.00K,1071,,,Unknown
1747,119534,ARIZONA,866450,2018,Excessive Heat,0,0,3,0,0.0,0.00K,1065,,,Unknown
1748,119534,ARIZONA,866450,2018,Excessive Heat,0,0,3,0,0.0,0.00K,1066,,,Unknown
1749,119534,ARIZONA,866450,2018,Excessive Heat,0,0,3,0,0.0,0.00K,1067,,,Unknown
1750,119535,ARIZONA,866451,2018,Excessive Heat,0,0,1,0,0.0,0.00K,1191,,,Unknown
1751,119536,ARIZONA,867269,2018,Heat,0,0,1,0,0.0,0.00K,1085,,,Unknown
1752,119537,ARIZONA,867271,2018,Heat,0,0,1,0,0.0,0.00K,1086,,,Unknown
1753,119538,ARIZONA,867272,2018,Heat,0,0,0,1,0.0,0.00K,1087,,,Unknown
1754,119561,ARIZONA,867273,2018,Heat,0,0,1,0,0.0,0.00K,1088,,,Unknown
1755,119562,ARIZONA,867285,2018,Heat,0,0,1,0,0.0,0.00K,1089,,,Unknown
1756,119563,ARIZONA,867286,2018,Heat,0,0,1,0,0.0,0.00K,1090,,,Unknown
1757,119570,ARIZONA,867287,2018,Heat,0,0,1,0,0.0,0.00K,1091,,,Unknown
1758,119571,ARIZONA,867288,2018,Heat,0,0,1,0,0.0,0.00K,1092,,,Unknown
1759,119572,ARIZONA,867289,2018,Heat,0,0,1,0,0.0,0.00K,1093,,,Unknown
1760,119573,ARIZONA,867300,2018,Heat,0,0,1,0,0.0,0.00K,1099,,,Unknown
1761,119584,ARIZONA,866456,2018,Excessive Heat,0,0,2,0,0.0,0.00K,1082,,,Unknown
1762,119584,ARIZONA,866456,2018,Excessive Heat,0,0,2,0,0.0,0.00K,1083,,,Unknown
1763,119586,ARIZONA,781930,2018,Flash Flood,0,0,1,0,10000.0,0.00K,962,77.0,M,Vehicle/Towed Trailer
1764,119624,ARIZONA,861910,2018,Heat,0,0,1,0,0.0,0.00K,1265,27.0,M,Outside/Open Areas
1765,119625,ARIZONA,861909,2018,Heat,0,0,1,0,0.0,0.00K,1264,47.0,F,Outside/Open Areas
1766,119635,ARIZONA,861919,2018,Heat,0,0,1,0,0.0,0.00K,1266,29.0,M,Outside/Open Areas
1767,119637,ARIZONA,861893,2018,Excessive Heat,0,0,1,0,0.0,0.00K,1262,42.0,M,Outside/Open Areas
1768,119641,ARIZONA,854807,2018,Heat,0,0,0,1,0.0,0.00K,1206,,,Unknown
1769,119642,ARIZONA,858357,2018,Heat,0,0,1,0,0.0,0.00K,1212,,,Unknown
1770,119645,ARIZONA,861895,2018,Excessive Heat,0,0,1,0,0.0,0.00K,1263,51.0,M,Outside/Open Areas
1771,119662,ARIZONA,862274,2018,Excessive Heat,0,0,9,2,0.0,0.00K,781,,,Unknown
1772,119662,ARIZONA,862274,2018,Excessive Heat,0,0,9,2,0.0,0.00K,1284,,,Unknown
1773,119662,ARIZONA,862274,2018,Excessive Heat,0,0,9,2,0.0,0.00K,1285,,,Unknown
1774,119662,ARIZONA,862274,2018,Excessive Heat,0,0,9,2,0.0,0.00K,1286,,,Unknown
1775,119662,ARIZONA,862274,2018,Excessive Heat,0,0,9,2,0.0,0.00K,1287,,,Unknown
1776,119662,ARIZONA,862274,2018,Excessive Heat,0,0,9,2,0.0,0.00K,1288,,,Unknown
1777,119662,ARIZONA,862274,2018,Excessive Heat,0,0,9,2,0.0,0.00K,1289,,,Unknown
1778,119662,ARIZONA,862274,2018,Excessive Heat,0,0,9,2,0.0,0.00K,1290,,,Unknown
1779,119662,ARIZONA,862274,2018,Excessive Heat,0,0,9,2,0.0,0.00K,1291,,,Unknown
1780,119662,ARIZONA,862274,2018,Excessive Heat,0,0,9,2,0.0,0.00K,1292,,,Unknown
1781,119662,ARIZONA,862274,2018,Excessive Heat,0,0,9,2,0.0,0.00K,1293,,,Unknown
1782,119664,ARIZONA,862273,2018,Excessive Heat,0,0,17,3,0.0,0.00K,779,,,Unknown
1783,119664,ARIZONA,862273,2018,Excessive Heat,0,0,17,3,0.0,0.00K,780,,,Unknown
1784,119664,ARIZONA,862273,2018,Excessive Heat,0,0,17,3,0.0,0.00K,784,,,Unknown
1785,119664,ARIZONA,862273,2018,Excessive Heat,0,0,17,3,0.0,0.00K,1267,,,Unknown
1786,119664,ARIZONA,862273,2018,Excessive Heat,0,0,17,3,0.0,0.00K,1268,,,Unknown
1787,119664,ARIZONA,862273,2018,Excessive Heat,0,0,17,3,0.0,0.00K,1269,,,Unknown
